product_id,product_name,category,price,discount_percent,rating,reviews_count,orders_count,seller_rating,stock_quantity,date_added,final_price,discount_amount,estimated_revenue,review_per_order_ratio,popularity_segment
WB-100001,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,340000,35,4.7,12,714,4.5,0,2025-09-06,221000,119000,157794000,0.0168,Kam sotilgan
WB-100002,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,110000,23,4.1,29,669,4.6,500,2025-11-11,84700,25300,56664300,0.0433,Kam sotilgan
WB-100003,Klassik kostyum-shim,Kiyim va poyabzal,151000,24,4.7,50,781,4.7,0,2026-03-03,114800,36200,89658800,0.064,Kam sotilgan
WB-100004,Tana skrabı Kofe,Go'zallik va parvarish,270000,33,4.4,31,783,4.7,0,2026-03-04,180900,89100,141644700,0.0396,Kam sotilgan
WB-100005,Bluetooth karnay Mini,Elektronika,691000,23,4.0,138,996,4.4,10,2025-11-13,532100,158900,529971600,0.1386,O'rtacha sotilgan
WB-100006,Shaker Protein,Sport va dam olish,174000,23,5.0,6,576,4.4,0,2025-12-08,134000,40000,77184000,0.0104,Kam sotilgan
WB-100007,Termos 1L zanglamas,Uy-ro'zg'or buyumlari,502000,8,5.0,73,689,4.9,25,2026-06-17,461800,40200,318180200,0.106,Kam sotilgan
WB-100008,Powerbank 20000mAh,Elektronika,956000,38,4.6,13,777,4.3,0,2026-03-07,592700,363300,460527900,0.0167,Kam sotilgan
WB-100009,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,391000,58,4.5,137,1733,5.0,0,2026-01-19,164200,226800,284558600,0.0791,Top sotilgan (Bestseller)
WB-100010,Velosiped chirog'i LED,Sport va dam olish,633000,36,4.1,13,741,4.4,10,2025-11-08,405100,227900,300179100,0.0175,Kam sotilgan
WB-100011,Shaker Protein,Sport va dam olish,600000,20,4.3,14,569,4.6,10,2025-09-20,480000,120000,273120000,0.0246,Kam sotilgan
WB-100012,Charm kamar,Kiyim va poyabzal,786000,53,4.4,16,976,4.6,100,2026-06-28,369400,416600,360534400,0.0164,O'rtacha sotilgan
WB-100013,Yuz zardobi Hyaluron,Go'zallik va parvarish,328000,16,4.8,56,842,4.7,0,2026-02-11,275500,52500,231971000,0.0665,Kam sotilgan
WB-100014,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,55000,27,4.3,282,2637,4.7,250,2026-04-27,40200,14800,106007400,0.1069,Top sotilgan (Bestseller)
WB-100015,Taktik ryukzak 40L,Sport va dam olish,391000,35,4.9,62,899,4.4,50,2026-04-18,254200,136800,228525800,0.069,Kam sotilgan
WB-100016,Oshxona pichoqlar to'plami,Uy-ro'zg'or buyumlari,74000,31,3.9,13,624,4.6,10,2026-01-11,51100,22900,31886400,0.0208,Kam sotilgan
WB-100017,Sviter Casual,Kiyim va poyabzal,147000,24,4.1,1,506,4.4,50,2026-04-27,111700,35300,56520200,0.002,Kam sotilgan
WB-100018,Gantellar to'plami 2x5kg,Sport va dam olish,271000,46,4.5,183,1752,4.9,500,2026-06-02,146300,124700,256317600,0.1045,Top sotilgan (Bestseller)
WB-100019,Jinsi shim Slim Fit,Kiyim va poyabzal,922000,18,4.3,165,1037,4.5,500,2026-05-20,756000,166000,783972000,0.1591,O'rtacha sotilgan
WB-100020,Krossovka Sport Run,Kiyim va poyabzal,121000,62,4.8,62,1441,4.5,0,2026-07-05,46000,75000,66286000,0.043,Top sotilgan (Bestseller)
WB-100021,Tana skrabı Kofe,Go'zallik va parvarish,217000,41,5.0,32,903,4.4,25,2025-09-28,128000,89000,115584000,0.0354,Kam sotilgan
WB-100022,Shampun Sulfatsiz,Go'zallik va parvarish,56000,37,4.8,324,3118,4.4,10,2026-04-03,35300,20700,110065400,0.1039,Top sotilgan (Bestseller)
WB-100023,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,28000,40,4.2,130,1708,4.7,0,2026-06-01,16800,11200,28694400,0.0761,Top sotilgan (Bestseller)
WB-100024,Klassik kostyum-shim,Kiyim va poyabzal,241000,27,4.3,80,1156,4.5,50,2026-01-10,175900,65100,203340400,0.0692,O'rtacha sotilgan
WB-100025,Qishki kurtka Oversize,Kiyim va poyabzal,204000,13,4.7,98,815,4.5,10,2026-05-28,177500,26500,144662500,0.1202,Kam sotilgan
WB-100026,Qo'l kremi Mini,Go'zallik va parvarish,79000,23,5.0,190,1937,4.5,10,2026-07-29,60800,18200,117769600,0.0981,Top sotilgan (Bestseller)
WB-100027,Plastilin to'plami,Bolalar tovarlari,585000,34,3.7,32,745,4.5,50,2025-09-03,386100,198900,287644500,0.043,Kam sotilgan
WB-100028,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,608000,52,4.0,37,1126,4.9,500,2026-04-19,291800,316200,328566800,0.0329,O'rtacha sotilgan
WB-100029,Parfyum Elixir 50ml,Go'zallik va parvarish,374000,42,4.3,129,1407,4.7,500,2026-01-11,216900,157100,305178300,0.0917,O'rtacha sotilgan
WB-100030,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,268000,65,4.6,36,1239,4.6,100,2026-04-01,93800,174200,116218200,0.0291,O'rtacha sotilgan
WB-100031,Avtomobil ushlagichi,Elektronika,279000,42,4.4,5,721,4.5,250,2026-07-31,161800,117200,116657800,0.0069,Kam sotilgan
WB-100032,Sakrash arqoni Metall simli,Sport va dam olish,420000,30,4.3,276,2168,4.4,250,2026-01-20,294000,126000,637392000,0.1273,Top sotilgan (Bestseller)
WB-100033,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,518000,51,4.2,42,1097,4.6,50,2026-06-14,253800,264200,278418600,0.0383,O'rtacha sotilgan
WB-100034,Telefon g'ilofi Silikon,Elektronika,959000,45,3.6,159,1755,5.0,100,2026-02-09,527400,431600,925587000,0.0906,Top sotilgan (Bestseller)
WB-100035,Qishki kurtka Oversize,Kiyim va poyabzal,260000,36,4.6,33,856,4.5,50,2026-07-10,166400,93600,142438400,0.0386,Kam sotilgan
WB-100036,Mexanik klaviatura RGB,Elektronika,500000,34,4.5,166,1810,4.8,10,2026-08-13,330000,170000,597300000,0.0917,Top sotilgan (Bestseller)
WB-100037,Ayollar ko'ylagi Vintage,Kiyim va poyabzal,466000,42,4.0,529,4023,4.4,100,2026-05-07,270300,195700,1087416900,0.1315,Top sotilgan (Bestseller)
WB-100038,Powerbank 20000mAh,Elektronika,1359000,23,4.5,34,724,4.3,250,2025-12-22,1046400,312600,757593600,0.047,Kam sotilgan
WB-100039,USB Type-C kabel Tezkor,Elektronika,658000,39,4.4,19,801,4.7,50,2026-03-18,401400,256600,321521400,0.0237,Kam sotilgan
WB-100040,Uy shippagi Soft,Kiyim va poyabzal,407000,39,3.7,2,660,4.5,25,2026-01-21,248300,158700,163878000,0.003,Kam sotilgan
WB-100041,Termo ichki kiyim,Sport va dam olish,368000,32,3.9,273,2141,4.9,50,2026-02-10,250200,117800,535678200,0.1275,Top sotilgan (Bestseller)
WB-100042,Oshxona tarozisi Elektron,Uy-ro'zg'or buyumlari,692000,53,4.4,284,2608,4.5,50,2025-10-30,325200,366800,848121600,0.1089,Top sotilgan (Bestseller)
