product_id,product_name,category,price,discount_percent,rating,reviews_count,orders_count,seller_rating,stock_quantity,date_added
WB-100001,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,340000.0,35,4.7,12,714,4.5,0,2025-09-06
WB-100002,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,110000.0,23,4.1,29,669,4.6,500,2025-11-11
WB-100003,Klassik kostyum-shim,Kiyim va poyabzal,151000.0,24,4.7,50,781,4.7,0,2026-03-03
WB-100004,Tana skrabı Kofe,Go'zallik va parvarish,270000.0,33,4.4,31,783,4.7,0,2026-03-04
WB-100005,Bluetooth karnay Mini,Elektronika,691000.0,23,4.0,138,996,4.4,10,2025-11-13
WB-100006,Shaker Protein,Sport va dam olish,174000.0,23,5.0,6,576,4.4,0,2025-12-08
WB-100007,Termos 1L zanglamas,Uy-ro'zg'or buyumlari,502000.0,8,5.0,73,689,4.9,25,2026-06-17
WB-100008,Powerbank 20000mAh,Elektronika,956000.0,38,4.6,13,777,4.3,0,2026-03-07
WB-100009,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,391000.0,58,4.5,137,1733,5.0,0,2026-01-19
WB-100010,Velosiped chirog'i LED,Sport va dam olish,633000.0,36,4.1,13,741,4.4,10,2025-11-08
WB-100011,Shaker Protein,Sport va dam olish,600000.0,20,4.3,14,569,4.6,10,2025-09-20
WB-100012,Charm kamar,Kiyim va poyabzal,786000.0,53,4.4,16,976,4.6,100,2026-06-28
WB-100013,Yuz zardobi Hyaluron,Go'zallik va parvarish,328000.0,16,4.8,56,842,4.7,0,2026-02-11
WB-100014,Yuz kremi Namlantiruvchi,Go'zallik va parvarish,55000.0,27,4.3,282,2637,4.7,250,2026-04-27
WB-100015,Taktik ryukzak 40L,Sport va dam olish,391000.0,35,4.9,62,899,4.4,50,2026-04-18
WB-100016,Oshxona pichoqlar to'plami,Uy-ro'zg'or buyumlari,74000.0,31,3.9,13,624,4.6,10,2026-01-11
WB-100017,Sviter Casual,Kiyim va poyabzal,147000.0,24,4.1,1,506,4.4,50,2026-04-27
WB-100018,Gantellar to'plami 2x5kg,Sport va dam olish,271000.0,46,4.5,183,1752,4.9,500,2026-06-02
WB-100019,Jinsi shim Slim Fit,Kiyim va poyabzal,922000.0,18,4.3,165,1037,4.5,500,2026-05-20
WB-100020,Krossovka Sport Run,Kiyim va poyabzal,121000.0,62,4.8,62,1441,4.5,0,2026-07-05
WB-100021,Tana skrabı Kofe,Go'zallik va parvarish,,41,5.0,32,903,4.4,25,2025-09-28
WB-100022,Shampun Sulfatsiz,Go'zallik va parvarish,56000.0,37,4.8,324,3118,4.4,10,2026-04-03
WB-100023,Quyoshdan himoya kremi SPF50,Go'zallik va parvarish,28000.0,40,4.2,130,1708,4.7,0,2026-06-01
WB-100024,Klassik kostyum-shim,Kiyim va poyabzal,241000.0,27,4.3,80,1156,4.5,50,2026-01-10
WB-100025,Qishki kurtka Oversize,Kiyim va poyabzal,204000.0,13,4.7,98,815,4.5,10,2026-05-28
WB-100026,Qo'l kremi Mini,Go'zallik va parvarish,79000.0,23,5.0,190,1937,4.5,10,2026-07-29
WB-100027,Plastilin to'plami,Bolalar tovarlari,585000.0,34,3.7,32,745,4.5,50,2025-09-03
WB-100028,Bokal to'plami (6 dona),Uy-ro'zg'or buyumlari,608000.0,52,4.0,37,1126,4.9,500,2026-04-19
WB-100029,Parfyum Elixir 50ml,Go'zallik va parvarish,374000.0,42,4.3,129,1407,4.7,500,2026-01-11
WB-100030,Choyshablar to'plami Satina,Uy-ro'zg'or buyumlari,268000.0,65,4.6,36,1239,4.6,100,2026-04-01
WB-100031,Avtomobil ushlagichi,Elektronika,279000.0,42,4.4,5,721,4.5,250,2026-07-31
